Genotype;Femelle;Male;Rep;HMWG
P1XP1;P1;P1;R1;2.56
P1XP1;P1;P1;R2;5.30
P1XP1;P1;P1;R3;6.72
P1XP1;P1;P1;R4;5.45
P2XP2;P2;P2;R1;3.18
P2XP2;P2;P2;R2;6.23
P2XP2;P2;P2;R3;6.81
P2XP2;P2;P2;R4;6.74
P3XP3;P3;P3;R1;2.99
P3XP3;P3;P3;R2;5.86
P3XP3;P3;P3;R3;6.71
P3XP3;P3;P3;R4;8.26
P4XP4;P4;P4;R1;4.09
P4XP4;P4;P4;R2;10.61
P4XP4;P4;P4;R3;10.17
P4XP4;P4;P4;R4;9.56
P5XP5;P5;P5;R1;3.65
P5XP5;P5;P5;R2;8.63
P5XP5;P5;P5;R3;10.81
P5XP5;P5;P5;R4;6.83
P1XP2;P1;P2;R1;2.26
P1XP2;P1;P2;R2;5.53
P1XP2;P1;P2;R3;5.83
P1XP2;P1;P2;R4;9.02
P1XP3;P1;P3;R1;2.73
P1XP3;P1;P3;R2;2.67
P1XP3;P1;P3;R3;6.45
P1XP3;P1;P3;R4;9.40
P1XP4;P1;P4;R1;9.84
P1XP4;P1;P4;R2;6.85
P1XP4;P1;P4;R3;8.02
P1XP4;P1;P4;R4;9.78
P1XP5;P1;P5;R1;2.02
P1XP5;P1;P5;R2;7.13
P1XP5;P1;P5;R3;7.66
P1XP5;P1;P5;R4;8.60
P2XP1;P2;P1;R1;3.20
P2XP1;P2;P1;R2;6.32
P2XP1;P2;P1;R3;5.40
P2XP1;P2;P1;R4;9.25
P2XP3;P2;P3;R1;2.89
P2XP3;P2;P3;R2;9.74
P2XP3;P2;P3;R3;7.51
P2XP3;P2;P3;R4;9.07
P2XP4;P2;P4;R1;3.19
P2XP4;P2;P4;R2;7.82
P2XP4;P2;P4;R3;8.31
P2XP4;P2;P4;R4;10.27
P2XP5;P2;P5;R1;2.33
P2XP5;P2;P5;R2;5.99
P2XP5;P2;P5;R3;6.79
P2XP5;P2;P5;R4;3.99
P3XP1;P3;P1;R1;2.22
P3XP1;P3;P1;R2;6.85
P3XP1;P3;P1;R3;7.54
P3XP1;P3;P1;R4;8.77
P3XP2;P3;P2;R1;2.74
P3XP2;P3;P2;R2;5.83
P3XP2;P3;P2;R3;7.39
P3XP2;P3;P2;R4;8.53
P3XP4;P3;P4;R1;2.29
P3XP4;P3;P4;R2;6.71
P3XP4;P3;P4;R3;9.72
P3XP4;P3;P4;R4;9.70
P3XP5;P3;P5;R1;2.20
P3XP5;P3;P5;R2;7.46
P3XP5;P3;P5;R3;8.30
P3XP5;P3;P5;R4;9.20
P4XP1;P4;P1;R1;4.74
P4XP1;P4;P1;R2;8.73
P4XP1;P4;P1;R3;9.81
P4XP1;P4;P1;R4;11.37
P4XP2;P4;P2;R1;3.70
P4XP2;P4;P2;R2;6.14
P4XP2;P4;P2;R3;7.75
P4XP2;P4;P2;R4;12.29
P4XP3;P4;P3;R1;4.32
P4XP3;P4;P3;R2;7.91
P4XP3;P4;P3;R3;10.66
P4XP3;P4;P3;R4;6.84
P4XP5;P4;P5;R1;1.98
P4XP5;P4;P5;R2;7.48
P4XP5;P4;P5;R3;11.78
P4XP5;P4;P5;R4;6.06
P5XP1;P5;P1;R1;2.19
P5XP1;P5;P1;R2;6.59
P5XP1;P5;P1;R3;8.97
P5XP1;P5;P1;R4;8.78
P5XP2;P5;P2;R1;3.20
P5XP2;P5;P2;R2;7.49
P5XP2;P5;P2;R3;11.16
P5XP2;P5;P2;R4;9.03
P5XP3;P5;P3;R1;3.20
P5XP3;P5;P3;R2;7.87
P5XP3;P5;P3;R3;9.40
P5XP3;P5;P3;R4;9.28
P5XP4;P5;P4;R1;2.16
P5XP4;P5;P4;R2;6.78
P5XP4;P5;P4;R3;7.73
P5XP4;P5;P4;R4;7.17
